Author,Work,Speaker
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Ἄγγελος
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Αἴας
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 2
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 2
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Ἡμιχόριον 2
Sophocles,Ajax,Ἡμιχόριον 1
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τέκμησσα
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Μενέλαος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Ἀγαμέμνων
Sophocles,Ajax,Χορός
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Ὀδυσσεύς
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Τεῦκρος
Sophocles,Ajax,Χορός
Sophocles,Ajax,Χορός
